Year Built,Basement Area (sqft),Living Area (sqft),Total Room,Garage Cars,Yr Sold,SalePrice,Garage,Age (years)
2004,991,1947,8,2,2010,254900,L,6
2005,1362,1362,6,2,2007,207000,L,2
1946,651,1389,6,1,2009,135000,S,63
2009,1555,1680,8,3,2009,323262,L,0
1920,600,1701,8,0,2009,94550,S,89
2009,1544,1544,7,3,2010,290941,L,1
2004,970,1709,7,2,2006,130000,L,2
1925,680,764,4,2,2008,73000,L,83
1959,1256,1256,6,1,2008,159000,S,49
1979,0,1535,8,2,2009,118858,L,30
2006,1838,1838,8,3,2009,315000,L,3
2002,972,1811,7,2,2009,235000,L,7
1965,1073,1073,6,2,2007,156000,L,42
2006,2153,2643,9,3,2007,380000,L,1
1998,1049,1916,8,3,2010,254900,L,12
2000,756,1573,4,2,2007,177000,L,7
1993,796,1362,5,2,2009,143000,L,16
2005,1868,1868,7,3,2006,415000,L,1
1971,864,864,5,2,2007,120500,L,36
1955,1763,1779,6,2,2006,170000,L,51
1958,1008,1053,6,2,2006,150000,L,48
1941,672,672,4,1,2009,113000,S,68
1976,684,1398,6,2,2008,160500,L,32
1950,795,1133,5,2,2009,128500,L,59
2005,600,1236,4,2,2010,152000,L,5
1992,1280,1280,5,2,2010,191500,L,18
1910,560,1690,5,2,2009,156500,L,99
1900,917,2007,8,1,2009,160000,S,109
1957,1105,1105,5,1,2009,135000,S,52
1993,1344,1440,8,4,2006,224500,L,13
2007,2630,2674,8,3,2009,610000,L,2
1972,483,987,5,1,2008,100500,S,36
1967,892,892,5,1,2009,100000,S,42
1978,888,912,5,2,2007,156000,L,29
2006,1085,1970,8,3,2006,281000,L,0
2004,840,1720,7,2,2007,183500,L,3
1967,1052,1052,6,1,2009,113500,S,42
2002,1368,1511,5,2,2006,246990,L,4
1951,884,884,4,1,2006,142000,S,55
2003,856,1710,8,2,2008,208500,L,5
2005,784,1596,6,2,2006,181000,L,1
1947,0,660,5,0,2009,63900,S,62
1966,1040,1040,6,1,2007,123000,S,41
1976,1041,1125,6,1,2009,125000,S,33
2003,998,2046,8,3,2008,284000,L,5
1968,1008,1008,6,1,2009,139500,S,41
1923,949,1292,6,1,2008,108000,S,85
1997,1288,1368,8,4,2006,215000,L,9
1971,372,1109,5,1,2007,139000,S,36
1953,773,773,4,1,2008,110000,S,55
1912,780,1716,9,0,2008,135900,S,96
1988,1204,2183,9,3,2006,229000,L,18
2000,959,1671,7,2,2006,173000,L,6
1963,520,1464,6,2,2009,175000,L,46
2003,2200,2200,8,3,2009,382500,L,6
1960,1478,1478,6,2,2009,157500,L,49
1973,765,1365,7,2,2006,125500,L,33
1970,864,864,5,1,2006,116050,S,36
1977,1330,2872,11,2,2008,272000,L,31
1997,964,2236,8,2,2006,222000,L,9
1918,686,1250,7,1,2006,116000,S,88
1958,1560,1560,8,2,2007,128600,L,49
1953,105,910,5,2,2008,116000,L,55
1941,720,1382,7,2,2007,128500,L,66
1962,931,1283,6,2,2008,140000,L,46
2006,1498,1498,5,2,2006,204900,L,0
1976,1029,1117,6,2,2010,107000,L,34
2006,1670,1670,7,3,2006,240000,L,0
2005,866,1768,7,2,2008,226700,L,3
2005,728,1456,8,2,2009,184000,L,4
1942,835,1453,7,1,2010,132000,S,68
1958,585,2279,7,2,2007,257000,L,49
1919,793,1517,7,0,2007,115000,S,88
1977,1420,1483,4,2,2010,270000,L,33
1954,833,833,4,1,2006,117000,S,52
1971,768,868,6,2,2007,119900,L,36
1980,630,1266,5,1,2007,128000,S,27
1993,1181,1190,6,2,2009,166000,L,16
1879,819,2454,8,2,2007,185000,L,128
1977,1160,2022,8,2,2008,192000,L,31
1996,1291,1291,6,2,2008,173000,L,12
1976,1444,1444,5,2,2008,159900,L,32
1976,1728,1728,8,2,2006,150900,L,30
2006,770,1576,6,2,2006,197000,L,0
2006,1738,2589,11,3,2006,412083,L,0
1990,1332,1332,5,2,2009,145000,L,19
1995,1237,1253,6,2,2007,176000,L,12
1949,0,720,4,1,2008,72500,S,59
2005,547,1072,5,2,2009,145500,L,4
1960,1329,1329,5,2,2009,176000,L,49
1978,1097,1110,4,2,2009,165500,L,31
1955,784,784,4,0,2008,91900,S,53
1961,1453,1453,6,2,2009,187500,L,48
1980,1043,2673,9,2,2009,249000,L,29
1961,1800,1800,10,0,2008,130000,S,47
2007,2108,2122,7,3,2007,345474,L,0
1999,978,1983,9,2,2009,225000,L,10
1957,1477,1839,7,2,2007,257500,L,50
1949,672,924,6,2,2007,122900,L,58
1962,999,999,6,1,2007,132500,S,45
1966,1228,1228,6,1,2008,149350,S,42
2005,1616,1616,7,3,2006,232000,L,1
1947,1004,1664,7,2,2006,159000,L,59
2004,1136,2468,10,3,2007,354000,L,3
1948,780,1416,6,1,2010,139900,S,62
1925,641,641,4,1,2006,85000,S,81
1992,828,883,5,2,2009,149000,L,17
2008,1614,1658,7,3,2009,257500,L,1
2007,920,1780,6,2,2008,264966,L,1
2008,1600,1652,5,2,2008,392500,L,0
1982,845,845,4,2,2007,129500,L,25
1976,1090,1178,6,2,2007,135000,L,31
1984,864,889,6,2,2008,137500,L,24
1998,1649,1661,6,2,2010,224900,L,12
2001,1479,2649,10,3,2008,421250,L,7
2005,745,1490,7,2,2009,167800,L,4
1932,854,1991,7,2,2007,220000,L,75
2005,547,1072,5,2,2008,148000,L,3
1998,1982,2006,5,3,2008,350000,L,10
1987,1433,1433,4,2,2010,270000,L,23
1995,773,1658,8,2,2008,188000,L,13
2003,912,2094,8,2,2009,263000,L,6
1948,649,1183,6,1,2007,120000,S,59
1900,859,1178,7,1,2010,102776,S,110
1980,650,1564,7,2,2010,171000,L,30
2003,0,1922,7,2,2009,198500,L,6
1976,1958,2048,9,2,2010,170000,L,34
1900,405,1039,6,1,2009,114000,S,109
2001,2633,2633,8,3,2007,466500,L,6
1964,1246,1246,6,2,2006,172000,L,42
2010,1642,1418,6,3,2010,267916,L,0
2004,384,1374,7,2,2009,167000,L,5
1929,926,1316,6,2,2010,130000,L,81
1989,868,2559,9,2,2006,209000,L,17
1997,802,1511,8,2,2006,185000,L,9
1978,864,1174,5,2,2008,158000,L,30
1958,1276,1276,5,1,2009,60000,S,51
1949,782,1556,6,2,2010,172500,L,61
1978,941,941,4,2,2009,145000,L,31
1973,672,1218,7,1,2007,113700,S,34
1971,864,874,5,1,2010,130000,S,39
1910,0,810,4,1,2009,57625,S,99
1959,1592,1652,6,2,2007,200000,L,48
2002,1778,1786,6,3,2008,300000,L,6
1999,953,1647,7,2,2007,175000,L,8
1986,1074,1088,5,2,2007,170000,L,21
1969,663,1352,7,1,2010,158000,S,41
1977,0,1734,8,2,2009,126000,L,32
1980,516,1045,5,2,2007,123900,L,27
1978,1040,1040,5,0,2009,124000,S,31
1962,1776,1560,6,2,2006,182000,L,44
2005,1310,1310,6,2,2006,164990,L,1
1964,0,1224,8,3,2007,103000,L,43
2005,1530,1530,7,2,2009,260000,L,4
1980,923,923,5,1,2010,143000,S,30
1959,1626,1712,8,2,2006,145000,L,47
1959,1206,1206,6,1,2010,108538,S,51
1990,1188,1217,6,2,2009,173000,L,19
1987,1645,1479,7,2,2009,213500,L,22
1962,1040,1040,6,1,2010,127000,S,48
2006,1035,2322,8,3,2006,287602,L,0
1967,1584,1584,8,3,2009,124000,L,42
1910,1020,1928,9,1,2006,137000,S,96
1963,925,925,5,2,2006,133500,L,43
1978,1664,1664,10,2,2006,145000,L,28
2009,1590,2334,10,3,2010,376162,L,1
1998,1418,1478,5,2,2009,240000,L,11
2007,1734,1734,7,3,2007,318000,L,0
1967,710,2978,11,2,2010,242000,L,43
1961,864,864,5,2,2009,141000,L,48
1962,896,936,6,1,2007,130000,S,45
1978,1542,2073,7,2,2010,210000,L,32
1984,744,752,4,1,2010,125000,S,26
1939,793,1118,5,2,2006,119900,L,67
1940,672,672,4,1,2008,86900,S,68
1997,1418,1418,5,2,2008,226001,L,11
1910,1077,1760,7,2,2006,80000,L,96
1941,1528,2133,8,1,2010,257500,S,69
1918,816,1416,7,2,2007,112000,L,89
1992,1390,2225,7,3,2010,285000,L,18
1940,901,1717,7,1,2006,194000,S,66
2002,826,1762,6,2,2006,222000,L,4
1957,936,936,4,1,2007,141000,S,50
1966,1209,1209,6,2,2010,159000,L,44
2006,1241,1241,4,2,2007,199900,L,1
1964,980,1020,5,2,2007,165000,L,43
2006,1626,1634,7,3,2007,250000,L,1
1885,641,1047,6,1,2007,100000,S,122
2008,1336,1346,6,3,2010,220000,L,2
1973,942,2521,10,2,2006,151400,L,33
1925,1054,1078,6,1,2009,125000,S,84
1939,739,1342,7,1,2008,105000,S,69
1921,1228,1424,7,1,2008,168000,S,87
1959,1501,1801,6,2,2010,289000,L,51
1937,907,1131,7,2,2007,89471,L,70
1997,1189,1189,4,2,2008,160500,L,11
2009,1218,1218,4,2,2010,204500,L,1
2003,783,1509,8,2,2006,180000,L,3
1931,544,774,6,0,2007,79000,S,76
1930,0,1092,7,0,2010,55000,S,80
1977,1196,1279,6,2,2008,171500,L,31
1967,864,900,6,1,2006,123000,S,39
1936,830,879,4,1,2006,80000,S,70
1992,908,1915,8,2,2006,220000,L,14
1910,1117,1347,5,0,2008,107500,S,98
2005,1704,2758,9,3,2007,418000,L,2
1968,890,890,5,1,2008,115000,S,40
1958,1080,1080,5,1,2008,136000,S,50
1959,1466,1466,6,2,2006,149900,L,47
1991,384,1472,7,2,2007,160000,L,16
1910,616,1273,5,1,2006,121000,S,96
1961,0,925,7,1,2007,99000,S,46
1935,1836,3672,7,2,2006,415000,L,71
1965,925,925,5,1,2009,117500,S,44
1976,796,1574,6,2,2006,190000,L,30
1979,0,1535,8,2,2009,118964,L,30
1895,736,1534,6,0,2007,148000,S,112
1993,1848,2786,10,2,2008,372500,L,15
1940,996,996,6,0,2008,108000,S,68
1998,1204,1204,5,2,2009,162000,L,11
2004,1114,1114,6,0,2009,142000,S,5
1940,420,708,5,0,2009,82500,S,69
1994,2444,4316,10,3,2007,755000,L,13
1953,1152,1152,6,2,2008,137500,L,55
1924,596,1430,7,2,2006,107000,L,82
1967,0,2650,10,0,2010,160000,S,43
1926,756,1281,6,2,2007,132500,L,81
1967,1013,2126,7,2,2009,185000,L,42
1961,1150,1150,6,1,2006,146000,S,45
2006,1670,1670,6,3,2006,336820,L,0
1958,1312,1312,6,2,2008,186000,L,50
1963,960,960,6,1,2008,144900,S,45
1922,1007,1077,6,1,2006,91000,S,84
2005,1308,1876,7,3,2006,229800,L,1
2003,847,1928,8,2,2007,219500,L,4
1969,784,1632,7,2,2009,173000,L,40
1995,384,1474,7,2,2009,168500,L,14
2003,1480,1480,7,2,2010,214000,L,7
1941,676,1131,5,1,2009,66500,S,68
1930,297,1654,7,1,2009,137000,S,79
2002,952,1812,7,2,2008,205000,L,6
1922,816,816,5,1,2007,75200,S,85
1935,728,3447,11,3,2008,381000,L,73
1935,1127,2108,7,2,2008,235000,L,73
1954,1296,1640,7,2,2008,224000,L,54
1966,660,1348,6,2,2006,155000,L,40
2002,1431,1444,6,2,2009,203000,L,7
1955,1098,1098,6,1,2008,135000,S,53
2005,1316,1316,6,2,2006,169990,L,1
1961,864,1144,6,1,2009,131400,S,48
1959,1143,1143,6,1,2010,136000,S,51
1990,700,2243,8,3,2007,225000,L,17
1970,546,1092,5,0,2010,76000,S,40
1993,1199,1199,5,2,2008,153900,L,15
2000,1494,1652,6,2,2007,251000,L,7
2008,1702,1702,7,3,2008,367294,L,0
1922,993,1048,5,1,2006,113000,S,84
1926,600,747,5,2,2006,79900,L,80
1890,718,2554,8,2,2007,159500,L,117
1993,1231,2349,9,3,2010,362500,L,17
1942,728,1644,7,1,2007,146500,S,65
1958,1584,1776,9,3,2009,110000,L,51
2005,1158,2376,9,3,2006,325300,L,1
2003,1406,1589,7,3,2007,226500,L,4
1963,1117,1117,6,1,2008,136870,S,45
1937,698,1176,4,2,2009,134900,L,72
1946,560,704,4,1,2009,88750,S,63
1948,912,1458,6,1,2010,97500,S,62
2007,2078,2084,7,3,2008,385000,L,1
1950,1067,1067,4,2,2010,128000,L,60
1955,923,925,5,1,2007,116900,S,52
1958,808,808,5,1,2007,112000,S,49
2004,707,1414,6,2,2006,178000,L,2
2003,3206,1629,7,3,2009,284000,L,6
1964,912,934,4,1,2006,132000,S,42
1965,1728,1728,10,2,2008,145000,L,43
1976,1040,1060,6,2,2007,129900,L,31
2000,1525,1525,6,2,2006,235000,L,6
2006,1623,1636,8,3,2007,255000,L,1
1983,840,884,5,2,2007,144000,L,24
1998,384,1382,7,2,2009,177500,L,11
1939,856,856,4,2,2010,126000,L,71
2003,1765,2690,9,3,2008,370000,L,5
1912,795,2230,10,1,2006,118500,S,94
2004,384,1374,8,2,2007,175000,L,3
2002,860,1960,8,2,2010,216500,L,8
1971,782,810,4,2,2006,130000,L,35
1950,572,1337,7,1,2008,141500,S,58
1976,1055,1055,4,1,2006,137500,S,30
2006,1302,1830,7,3,2007,221300,L,1
1941,1152,2340,9,1,2010,266500,S,69
1990,1216,2514,8,2,2006,250000,L,16
2007,1682,2332,9,3,2008,426000,L,1
1973,462,988,4,1,2008,94900,S,35
1984,1208,1621,8,2,2006,202500,L,22
1994,1494,1494,5,2,2007,279700,L,13
1954,381,992,6,1,2010,155891,S,56
1958,588,1095,6,1,2006,140000,S,48
1918,600,1228,6,1,2009,137000,S,91
2006,1094,2473,11,3,2006,356383,L,0
1966,756,1839,7,2,2010,155000,L,44
1999,1393,2599,10,3,2010,333168,L,11
1977,1967,1967,10,2,2006,156500,L,29
1951,876,876,5,2,2008,94000,L,57
1970,1652,1652,8,3,2006,146500,L,36
1928,784,784,5,2,2009,76000,L,81
1900,709,1844,9,1,2010,80400,S,110
1997,864,1771,6,2,2008,215700,L,11
2002,1777,1795,7,2,2008,230000,L,6
1999,1152,2270,9,3,2010,290000,L,11
2006,1612,1612,6,2,2007,319900,L,1
2000,915,1690,7,2,2007,187000,L,7
1984,1049,1049,5,1,2009,139500,S,25
1990,1424,1442,5,2,2009,180500,L,19
1930,1078,1573,8,2,2008,162900,L,78
2006,1476,1484,6,2,2007,265900,L,1
1957,0,845,5,1,2009,84000,S,52
1890,684,1080,5,0,2008,95000,S,118
2006,738,1491,7,2,2007,168675,L,1
2008,2271,2276,7,3,2008,475000,L,0
2003,912,2014,9,2,2009,170000,L,6
1973,526,988,5,1,2008,105000,S,35
1963,925,999,6,1,2007,130000,S,44
2005,1392,2462,9,2,2006,320000,L,1
1997,926,1604,7,2,2008,181000,L,11
2009,846,1692,6,2,2009,224500,L,0
1910,658,1184,8,0,2006,81000,S,96
1958,951,951,6,2,2009,143500,L,51
1977,957,1287,5,2,2009,173000,L,32
1962,0,1224,6,2,2007,101800,L,45
1984,1003,1003,6,2,2006,142500,L,22
1962,894,894,5,1,2009,109500,S,47
1958,1329,1329,6,1,2010,172000,S,52
1979,914,914,5,2,2009,134900,L,30
1965,1088,1324,6,2,2006,160000,L,41
2008,1726,1726,6,2,2009,222000,L,1
1907,707,1884,7,0,2010,93369,S,103
2007,1266,1266,6,2,2007,185485,L,0
1921,1073,1073,4,1,2006,108480,S,85
1958,1184,1414,6,2,2008,176500,L,50
2006,1489,1500,7,2,2007,212999,L,1
2005,704,1422,7,2,2009,173000,L,4
1993,946,1802,8,4,2010,218000,L,17
2007,1800,1800,7,2,2009,239000,L,2
2002,936,1776,7,2,2006,192500,L,4
1994,1022,1022,6,2,2007,139500,L,13
1941,918,1646,7,1,2007,164000,S,66
2007,896,1792,8,2,2007,255000,L,0
1900,712,1428,7,2,2006,139900,L,106
1915,840,1680,8,1,2008,177000,S,93
1969,1851,1851,8,2,2006,192100,L,37
1964,1200,1200,6,3,2008,173000,L,44
1940,981,1672,6,1,2008,164900,S,68
1963,1052,1052,6,1,2007,127000,S,44
1966,1232,1232,6,2,2010,142250,L,44
1948,1559,1559,5,2,2007,153500,L,59
2008,796,1612,6,3,2008,218689,L,0
1958,960,960,5,2,2006,125000,L,48
2006,1709,1717,7,3,2009,255500,L,3
2005,1541,1541,7,2,2010,220000,L,5
1986,791,2093,7,2,2008,215000,L,22
1957,1484,1600,6,1,2006,207500,S,49
2005,1414,2331,9,3,2008,379000,L,3
1946,0,930,6,1,2010,84900,S,64
1974,1522,2614,9,2,2008,240000,L,34
1994,2062,2687,9,2,2006,270000,L,12
1962,912,912,6,1,2009,123000,S,47
1971,1258,1258,5,2,2008,145000,L,37
2003,847,1986,9,2,2008,213000,L,5
1978,1152,1152,6,1,2009,159900,S,31
1964,1420,1452,6,2,2007,158450,L,43
1904,650,1539,8,2,2008,157500,L,104
1951,1342,1342,7,1,2007,125000,S,56
2006,728,1456,8,2,2007,155835,L,1
1998,1028,2452,9,2,2007,267000,L,9
1941,693,693,4,0,2006,52500,S,65
1998,853,1753,7,2,2007,217000,L,9
2000,756,1512,4,2,2009,180000,L,9
1992,1575,1575,5,2,2007,179200,L,15
1968,912,1152,7,2,2007,143450,L,39
1918,816,838,5,1,2008,130000,S,90
2006,1145,1145,6,2,2010,160000,L,4
1993,740,1775,7,2,2009,213000,L,16
1969,864,1479,8,1,2010,161000,S,41
2008,1734,2822,12,3,2009,582933,L,1
1950,709,1203,5,1,2009,110000,S,59
1978,995,1282,6,3,2006,174000,L,28
2006,1422,1432,7,2,2009,245000,L,3
1920,671,2654,11,2,2007,158000,L,87
1962,1595,2486,8,2,2006,220000,L,44
2006,1095,1939,8,3,2006,266000,L,0
1900,938,1951,9,2,2006,111500,L,106
1924,784,1221,7,1,2006,104900,S,82
1920,672,1344,6,1,2009,147000,S,89
1999,938,2299,7,2,2007,204000,L,8
1966,800,1632,7,2,2008,173000,L,42
2004,600,1200,4,2,2010,155000,L,6
1967,864,899,5,1,2009,130000,S,42
1999,729,1458,5,2,2007,176000,L,8
1961,864,1187,6,2,2007,140500,L,46
1956,1134,1229,6,1,2009,135000,S,53
1922,700,1180,5,1,2006,137500,S,84
1953,984,950,5,2,2008,130000,L,55
1954,941,1470,7,1,2008,135000,S,54
1973,546,1092,6,1,2010,83500,S,37
2005,1145,1145,5,2,2009,160200,L,4
1975,1533,1533,5,2,2006,280000,L,31
1957,1478,1478,6,2,2009,156500,L,52
1931,952,1774,8,2,2008,129900,L,77
1996,1264,2344,7,3,2009,265000,L,13
1905,572,1540,7,0,2008,129400,S,103
2002,1654,1654,6,3,2006,230000,L,4
1939,780,1412,6,1,2009,132500,S,70
1993,1286,2799,8,3,2006,315000,L,13
1921,612,2601,8,2,2008,189000,L,87
1977,1122,1934,6,2,2009,185000,L,32
1954,0,1383,6,2,2009,122000,L,55
2001,845,1690,7,2,2007,190550,L,6
1958,1121,1336,7,2,2006,162000,L,48
1967,0,1296,6,2,2006,90000,L,39
2001,944,1840,6,2,2009,230000,L,8
2005,1700,2212,9,3,2006,309000,L,1
2008,1739,1743,8,3,2009,335000,L,1
2003,1008,2283,9,3,2009,270000,L,6
1942,771,1494,7,1,2009,177500,S,67
1993,1594,1594,6,2,2007,188500,L,14
1959,1252,1252,7,2,2008,142000,L,49
1970,864,864,5,2,2009,76500,L,39
1958,1151,1955,7,1,2008,165500,S,50
2003,530,1080,4,2,2010,147110,L,7
2004,2208,2522,8,2,2009,375000,L,5
1956,1073,1811,6,2,2006,230000,L,50
2007,1528,1528,6,2,2007,235876,L,0
1994,1290,2494,9,3,2006,321000,L,12
1954,1086,1086,6,2,2010,144900,L,56
1941,720,1298,6,1,2009,122000,S,68
2003,1760,1760,8,2,2009,269500,L,6
1922,683,904,4,0,2009,61000,S,87
2001,1753,1787,7,3,2006,275000,L,5
1979,539,1725,6,2,2007,197000,L,28
1948,816,1224,5,1,2010,132000,S,62
1941,616,1111,5,1,2008,95000,S,67
1941,672,924,5,1,2010,80000,S,69
2007,2418,2464,9,3,2008,417500,L,1
1954,954,1482,6,2,2006,125000,L,52
1972,780,780,4,1,2008,124900,S,36
1880,1240,2640,8,4,2009,265979,L,129
1968,1560,1560,8,3,2007,126000,L,39
1939,884,884,5,1,2007,113000,S,68
2007,874,1761,7,2,2007,227875,L,0
2005,1822,1822,8,3,2010,259000,L,5
1970,546,1092,5,0,2007,93900,S,37
1967,1073,1073,6,1,2008,120000,S,41
2004,1158,2443,9,3,2007,265000,L,3
1910,771,1484,6,1,2007,50000,S,97
2004,1420,1914,9,3,2006,279000,L,2
1955,1156,1520,7,1,2010,153000,S,55
1967,1040,1040,6,2,2009,163000,L,42
1954,1056,1063,6,1,2010,128000,S,56
2006,1489,1489,7,2,2006,232600,L,0
1986,1256,1256,6,2,2008,180000,L,22
2005,1132,1132,5,2,2008,176000,L,3
1954,1172,1172,5,1,2010,128000,S,56
2007,1218,1218,6,2,2008,230348,L,1
2003,1362,2082,6,2,2008,200000,L,5
1984,1038,1038,5,1,2007,130000,S,23
1984,864,887,5,1,2007,124500,S,23
1978,1271,1601,7,2,2009,157000,L,31
1965,1187,1565,7,1,2006,185900,S,41
1940,0,612,4,1,2009,45000,S,69
1941,735,1218,6,2,2007,131000,L,66
1945,0,729,5,0,2006,51689,S,61
1995,1342,2726,9,3,2006,350000,L,11
1953,936,936,4,2,2009,93000,L,56
1974,864,894,5,2,2007,131000,L,33
1961,864,864,5,1,2008,135000,S,47
1962,1025,1025,6,0,2006,124000,S,44
2003,847,1733,7,2,2007,225000,L,4
1980,2014,2014,6,3,2009,275000,L,29
1993,903,1642,7,2,2007,168000,L,14
1958,1170,1170,6,1,2007,140000,S,49
2009,1365,2690,8,3,2009,398800,L,0
1929,672,1344,6,2,2007,140000,L,78
1915,1048,1768,8,2,2009,155000,L,94
1962,1319,1537,7,2,2008,174000,L,46
2005,1326,1326,6,2,2007,203000,L,2
1953,1094,1094,5,2,2008,155000,L,55
1947,698,698,4,0,2009,118000,S,62
1978,2048,2064,7,2,2008,235000,L,30
1930,713,713,5,1,2006,99800,S,76
2005,1306,1306,5,2,2009,196000,L,4
