Year Built,Basement Area (sqft),Living Area (sqft),Total Room,Garage Cars,Yr Sold,SalePrice,Garage,Age (years)
1927,1204,1666,4,1,2009,135000,S,82
1951,2136,2136,7,2,2006,137900,L,55
2002,860,1729,7,2,2007,200000,L,5
1967,943,1387,6,1,2006,145000,S,39
2005,1994,2046,7,3,2007,450000,L,2
1925,672,1369,6,1,2009,103600,S,84
1991,1680,1689,6,2,2008,228500,L,17
1955,1056,1056,6,1,2006,125000,S,51
1920,931,1027,5,0,2008,120000,S,88
1920,528,605,5,0,2007,86000,S,87
2006,1524,1534,7,2,2007,215000,L,1
1960,1144,1429,7,2,2007,181900,L,47
2004,384,1374,7,2,2010,184500,L,6
1997,941,1837,7,2,2006,187000,L,9
2004,1445,1445,6,2,2008,186500,L,4
2008,2002,2018,10,3,2010,378500,L,2
2005,1752,1752,6,2,2010,319900,L,5
1927,720,1930,8,1,2009,149000,S,82
2006,1324,1324,6,2,2009,254000,L,3
1925,765,765,4,1,2010,87000,S,85
1958,1866,1866,8,2,2009,135000,L,51
1946,0,334,2,0,2007,39300,S,61
2005,742,1484,8,2,2009,174000,L,4
1915,806,1647,6,1,2010,128000,S,95
1934,965,3194,10,2,2007,359100,L,73
2005,1538,1538,7,2,2007,260000,L,2
1999,1468,1479,6,2,2008,191000,L,9
1957,1040,1362,6,3,2009,140000,L,52
1973,1656,1656,8,2,2008,135000,L,35
2003,941,1829,7,2,2010,237000,L,7
1973,1044,1055,5,2,2007,147000,L,34
1976,456,1033,6,2,2008,165000,L,32
1955,0,1152,6,0,2008,82500,S,53
1971,864,864,5,2,2009,130000,L,38
2005,1868,2028,7,3,2006,369900,L,1
1948,924,1122,6,2,2008,147000,L,60
1996,872,1756,7,2,2007,204000,L,11
1971,765,1365,6,2,2007,122500,L,36
2008,1450,1450,6,3,2009,224243,L,1
1950,1032,1252,6,1,2008,119000,S,58
2007,1208,1208,6,2,2007,195400,L,0
1975,976,1012,4,0,2006,127500,S,31
1976,1262,1262,6,2,2007,181500,L,31
1962,858,1716,8,2,2008,171000,L,46
1960,1081,1081,5,1,2008,148000,S,48
1910,485,1635,5,1,2006,117000,S,96
1925,884,1348,5,1,2009,117000,S,84
2003,1482,2262,10,3,2008,305000,L,5
1926,992,1013,6,1,2008,113000,S,82
1938,952,1582,6,1,2009,150000,S,71
2001,1413,1430,6,2,2009,187100,L,8
2008,1858,1866,7,3,2008,336860,L,0
1953,1040,1040,6,1,2007,136000,S,54
1999,1224,1224,5,2,2009,165000,L,10
1976,725,1479,6,2,2010,130500,L,34
1976,546,1092,6,1,2007,75190,S,31
2004,846,1594,7,2,2009,195500,L,5
2006,1092,1550,7,2,2009,241000,L,3
1964,1292,1292,6,2,2009,145100,L,45
1954,1288,2422,6,2,2007,255000,L,53
1925,768,1236,6,1,2008,127000,S,83
1939,672,1322,7,1,2007,132000,S,68
1992,1580,1953,9,2,2007,240000,L,15
2001,1267,1296,6,2,2009,220000,L,8
1954,1268,1268,7,1,2010,132000,S,56
2003,2535,2470,7,3,2008,615000,L,5
1916,714,2526,10,1,2007,136000,S,91
1954,894,894,5,2,2007,110000,L,53
1923,678,832,5,2,2010,12789,L,87
2006,1187,1208,6,2,2010,206000,L,4
1945,0,1529,9,1,2009,98000,S,64
2000,1406,1936,7,2,2006,230500,L,6
1964,780,1806,8,2,2009,144750,L,45
1991,1582,1595,5,2,2009,152000,L,18
1920,660,865,4,1,2007,108500,S,87
1923,1324,1576,6,2,2009,223500,L,86
1971,1484,1484,7,2,2007,175000,L,36
1967,894,894,5,2,2008,130000,L,41
2003,1150,2314,9,2,2006,229000,L,3
1987,1200,1200,5,0,2009,179000,S,22
2004,1836,1836,7,3,2009,280000,L,5
1940,861,861,4,2,2009,82500,L,69
1965,1214,1214,6,2,2007,140000,L,42
1938,884,1374,6,1,2008,110000,S,70
1974,970,1026,5,2,2007,143000,L,33
2006,1721,1740,8,3,2006,293000,L,0
2006,1410,2945,10,3,2006,438780,L,0
1964,780,1611,7,2,2008,167900,L,44
1928,689,1378,7,2,2008,161000,L,80
1962,912,1734,7,2,2006,159000,L,44
1977,1055,1055,4,2,2008,148500,L,31
1996,880,1716,7,2,2009,191000,L,13
1968,1060,1060,6,1,2010,154000,S,42
2005,1368,1368,6,2,2006,202665,L,1
1969,1427,1427,7,2,2008,183000,L,39
1968,900,1770,7,2,2006,155000,L,38
1910,856,1680,7,2,2010,114900,L,100
1950,721,841,4,1,2009,82000,S,59
2005,1142,1142,6,2,2006,156820,L,1
1962,1188,1188,6,1,2010,157900,S,48
1976,894,894,5,1,2010,128200,S,34
1995,1203,2520,9,3,2007,290000,L,12
1936,951,951,6,1,2006,106500,S,70
2008,1436,1436,6,2,2009,225000,L,1
1970,530,992,4,1,2007,106500,S,37
1950,1488,1488,6,2,2008,133000,L,58
1999,776,1441,5,2,2007,174000,L,8
2004,848,848,3,2,2010,143000,L,6
1957,1176,1176,6,1,2008,136500,S,51
1974,1430,1430,6,2,2008,192000,L,34
1980,1372,1472,6,2,2009,187500,L,29
2001,1454,1434,6,2,2009,189000,L,8
1977,1244,1356,6,2,2007,188000,L,30
2006,1518,1537,8,3,2008,294000,L,2
1969,1216,1216,5,1,2009,113000,S,40
2002,870,2004,8,3,2009,257500,L,7
1970,546,1092,5,0,2010,88250,S,40
2003,848,848,3,2,2008,136500,L,5
2006,1324,1324,6,2,2007,221370,L,1
1981,2461,2497,7,2,2007,373000,L,26
1980,738,2044,7,2,2008,185000,L,28
2003,1792,1792,6,3,2006,374000,L,3
2000,1519,2172,8,3,2008,291000,L,8
1965,1040,1040,5,1,2008,129500,S,43
1939,728,1274,6,1,2007,135000,S,68
1961,552,1774,8,1,2009,165000,S,48
1953,1809,2259,7,2,2007,217000,L,54
2007,768,1496,7,2,2007,181755,L,0
2004,1512,1512,6,3,2009,203000,L,5
1954,988,988,4,2,2008,113000,L,54
1998,1066,2385,8,3,2007,252000,L,9
2003,1273,1456,7,2,2006,215000,L,3
1958,533,1601,6,1,2008,140000,S,50
2006,608,1458,6,2,2007,168165,L,1
2003,840,1668,8,2,2007,180000,L,4
2007,1341,1861,7,3,2008,257000,L,1
1972,1161,1381,5,2,2010,197500,L,38
2004,840,1680,3,2,2010,190000,L,6
2006,1935,1973,9,3,2007,395000,L,1
1977,1126,1126,5,2,2006,160000,L,29
1965,1219,1265,6,2,2008,179900,L,43
1999,1090,2214,8,3,2006,268500,L,7
1940,600,919,5,1,2010,95000,S,70
1945,747,747,4,1,2010,80000,S,65
1959,1019,1357,5,1,2008,177000,S,49
1920,720,846,4,2,2009,106000,L,89
1995,930,1995,8,2,2006,237000,L,11
2009,1300,1314,6,2,2009,229456,L,0
1915,840,1605,8,1,2010,107400,S,95
1949,1040,1846,7,1,2007,143000,S,58
2001,1419,1419,5,2,2008,290000,L,7
1921,585,1436,7,1,2007,141500,S,86
2003,1390,1390,7,2,2006,207000,L,3
1920,951,1362,7,1,2007,96000,S,87
1999,691,1452,6,2,2009,156000,L,10
2002,1348,1358,5,2,2006,220000,L,4
2004,1473,1484,7,2,2010,213000,L,6
1920,861,861,5,2,2009,80000,L,89
1955,992,1661,8,1,2008,165500,S,53
2001,1337,1337,5,2,2007,155000,L,6
1975,855,1456,6,2,2010,149900,L,35
2005,1122,2504,11,3,2008,325000,L,3
1992,1168,1187,6,2,2010,185000,L,18
2002,967,1908,9,2,2010,202900,L,8
1951,864,864,4,2,2010,141000,L,59
1965,1068,1264,7,2,2010,169000,L,45
1956,1240,1375,6,1,2007,187000,S,51
1963,981,1075,6,2,2008,148000,L,45
2006,1494,1494,7,3,2007,279500,L,1
2003,1054,2048,8,2,2007,301000,L,4
1964,1516,1516,6,2,2009,167000,L,45
2008,2190,2036,9,3,2009,410000,L,1
2003,1572,2668,10,3,2008,412500,L,5
1959,1144,1144,6,1,2006,143000,S,47
1997,916,1600,7,2,2007,169000,L,10
1993,1080,2197,9,3,2008,287500,L,15
1940,808,1072,5,2,2007,130000,L,67
1978,1529,1664,7,2,2007,213000,L,29
1957,907,907,5,1,2008,109008,S,51
1964,822,1851,7,2,2007,187000,L,43
1916,624,1344,7,3,2008,98000,L,92
2005,600,1200,4,2,2006,144152,L,1
1956,1005,1005,6,1,2006,133500,S,50
1910,661,1250,8,2,2007,139000,L,97
1977,985,985,6,1,2008,149900,S,31
1967,980,980,6,1,2006,135500,S,39
2001,810,1665,6,2,2009,227000,L,8
1960,1144,1144,6,1,2007,120000,S,47
1956,1202,1202,6,1,2009,120000,S,53
2001,1753,1788,7,2,2009,236500,L,8
2007,1582,2161,8,3,2007,325624,L,0
2007,1496,1496,7,2,2007,225000,L,0
2007,1034,2078,8,3,2008,339750,L,1
1969,1104,1360,8,1,2006,140000,S,37
1972,864,864,5,1,2008,127000,S,36
1999,600,1252,4,2,2008,160000,L,9
1937,780,1376,7,1,2006,119500,S,69
2002,1128,2031,7,2,2008,237000,L,6
1900,554,1290,6,1,2008,106900,S,108
2004,1393,1576,7,3,2008,219990,L,4
1984,1232,1232,6,2,2008,162500,L,24
2005,1606,2091,8,2,2006,338500,L,1
2002,1487,1419,4,2,2006,190000,L,4
1963,1572,1572,5,3,2007,186700,L,44
1971,1232,1320,5,2,2009,172500,L,38
1990,1453,2810,9,2,2007,302000,L,17
1974,1748,2646,9,2,2006,260000,L,32
1950,0,1040,5,2,2006,109500,L,56
1955,1382,1382,6,1,2009,153000,S,54
1994,754,1540,6,2,2009,184000,L,15
1976,1228,1324,5,2,2007,174000,L,31
1915,832,1338,7,2,2006,92000,L,91
1930,816,816,5,1,2008,120500,S,78
1956,1008,1024,5,1,2006,157500,S,50
2008,1926,3140,11,3,2009,485000,L,1
1976,958,958,5,2,2009,143750,L,33
1916,816,1232,6,2,2009,147500,L,93
1920,1012,1012,6,1,2007,118400,S,87
1999,744,1501,6,2,2008,179400,L,9
2004,1713,1713,7,3,2009,274900,L,5
1977,1126,1126,6,2,2008,175000,L,31
2006,1100,1100,6,0,2007,146000,S,1
1872,684,2358,8,0,2008,122000,S,136
1920,817,1550,7,1,2006,195000,S,86
1997,1779,2551,8,3,2007,384500,L,10
1997,1344,1344,8,4,2008,209200,L,11
1983,864,902,5,2,2006,131000,L,23
1962,1092,1092,6,1,2009,139000,S,47
1951,1091,1091,5,1,2008,104000,S,57
1981,1686,1707,6,2,2006,228000,L,25
1995,781,1499,6,2,2006,187000,L,11
1993,864,1820,7,2,2007,191750,L,14
2007,1643,1651,7,3,2007,246500,L,0
1994,636,1320,6,2,2006,150000,L,12
1988,1166,1179,5,2,2007,182000,L,19
1964,1728,1728,10,1,2007,119000,S,43
1980,561,1229,5,2,2009,124000,L,29
1988,1461,1509,5,2,2008,175000,L,20
1993,812,2200,9,2,2008,225000,L,15
2005,1838,1838,9,3,2006,359900,L,1
2005,1468,1468,6,2,2010,271500,L,5
1925,2171,2640,10,3,2006,180000,L,81
1970,630,630,3,0,2006,92000,S,36
2003,1053,1992,9,2,2008,250000,L,5
1920,816,1012,5,1,2010,67500,S,90
1948,928,1920,10,2,2007,137000,L,59
1958,808,1315,5,2,2007,99500,L,49
2006,1504,1504,7,2,2006,199000,L,0
1925,864,864,5,0,2008,98000,S,83
1978,918,1683,7,2,2009,172500,L,31
1930,813,813,5,1,2006,110000,S,76
1916,815,1690,7,1,2006,144000,S,90
2006,900,1795,8,3,2009,270000,L,3
1976,1437,1437,6,2,2007,218000,L,31
2005,1364,1364,6,2,2006,185850,L,1
1918,1370,2624,10,3,2007,239000,L,89
1997,1040,2098,9,2,2010,240000,L,13
1920,824,3082,12,2,2009,197000,L,89
1940,416,599,4,0,2009,59000,S,69
1966,1059,1059,6,1,2006,142500,S,40
1967,1334,1334,7,2,2006,164500,L,39
1973,1176,1178,5,2,2008,157000,L,35
2003,1122,2486,10,2,2007,279900,L,4
1921,576,1710,9,2,2010,140000,L,89
1920,596,1762,8,2,2006,157000,L,86
2006,1461,1486,7,2,2007,181000,L,1
1953,1304,2287,7,2,2006,225000,L,53
1962,925,999,6,1,2006,134500,S,44
1920,936,1740,6,1,2008,122250,S,88
1994,915,1908,8,2,2008,210000,L,14
1950,876,988,6,1,2007,119000,S,57
1959,1040,1040,6,1,2006,133700,S,47
1978,1117,1981,8,2,2010,230000,L,32
1940,644,1355,6,0,2008,127500,S,68
1957,1617,1797,7,3,2006,169000,L,49
1997,794,1470,6,2,2007,177000,L,10
1920,648,1118,6,2,2006,116000,L,86
2009,1470,1478,7,2,2010,222000,L,1
1992,1449,1759,7,2,2009,233500,L,17
2004,600,1200,4,2,2010,151000,L,6
1979,1362,1586,7,2,2009,181000,L,30
1961,1040,1120,5,2,2007,129000,L,46
1936,1064,1639,6,1,2008,115000,S,72
2000,782,1652,6,2,2008,207500,L,8
1924,617,1310,6,1,2006,112000,S,82
1932,952,2345,9,2,2006,239000,L,74
1986,1502,2730,8,2,2007,301000,L,21
2005,1302,1302,5,2,2007,200000,L,2
1895,957,1991,9,0,2007,119600,S,112
2005,1306,1306,5,2,2009,184500,L,4
1953,608,1319,5,1,2009,123000,S,56
1992,912,970,6,0,2006,132000,S,14
2007,1643,1651,7,3,2007,250000,L,0
1938,920,954,5,1,2007,119750,S,69
2009,1212,1212,6,2,2010,186000,L,1
1994,990,990,5,2,2008,145000,L,14
1980,988,1102,5,2,2006,169000,L,26
1990,1398,1398,5,2,2006,172000,L,16
1972,1952,2704,9,2,2009,345000,L,37
1961,1109,1155,6,2,2010,148000,L,49
1976,966,1743,5,2,2007,279000,L,31
2005,684,1560,6,2,2009,174000,L,4
1969,1176,1176,5,1,2006,119900,S,37
2003,926,1884,7,2,2009,240900,L,6
1964,1251,1251,6,1,2006,160000,S,42
2006,1554,1554,6,2,2007,209500,L,1
1976,0,1872,8,2,2008,100000,L,32
1953,1165,1336,5,1,2006,157000,S,53
1997,813,1525,6,2,2006,183500,L,9
1995,680,1470,7,2,2008,165000,L,13
1976,911,954,6,2,2006,132500,L,30
1999,1588,1588,6,2,2006,214000,L,7
1960,1179,1179,5,2,2007,110000,L,47
1922,738,1470,6,2,2010,140750,L,88
1928,896,1913,9,2,2009,177000,L,81
1948,972,972,5,1,2009,132000,S,61
1980,626,1217,6,1,2009,120000,S,29
1972,483,987,5,1,2009,97000,S,37
2005,1142,1142,5,0,2006,139500,S,1
2007,955,1880,8,3,2007,310013,L,0
2008,3094,2402,10,3,2009,555000,L,1
1994,779,1958,7,2,2007,220000,L,13
1965,912,912,5,2,2008,147000,L,43
2003,864,1728,7,2,2008,207500,L,5
1971,864,864,4,2,2009,97000,L,38
1946,1195,1195,8,0,2007,98500,S,61
2007,1218,1218,6,2,2009,159000,L,2
1980,516,1032,5,2,2009,115000,L,29
1966,876,904,6,1,2008,109900,S,42
1972,876,876,5,2,2010,127000,L,38
1978,1008,1096,6,2,2008,157500,L,30
1965,1042,1042,5,2,2007,161000,L,42
2005,1560,1565,6,2,2006,282500,L,1
2001,1057,1929,7,2,2007,226000,L,6
2007,1689,1689,7,3,2007,248328,L,0
1994,1629,2448,8,3,2009,402000,L,15
1924,848,1827,9,1,2006,202500,S,82
1957,1314,1314,5,1,2010,145000,S,53
2008,1622,1630,8,3,2009,295493,L,1
2003,1068,2184,8,2,2009,254750,L,6
1971,1625,1220,6,2,2007,170000,L,36
1910,828,1594,9,0,2008,118000,S,98
1959,1006,1006,5,0,2008,80000,S,49
1964,912,912,6,0,2006,124000,S,42
1961,1362,1362,6,2,2008,163000,L,47
1940,884,1436,8,2,2008,155000,L,68
1922,892,1436,7,4,2008,139000,L,86
2006,1546,1564,6,2,2007,267300,L,1
2007,1710,1710,6,3,2008,372402,L,1
2006,1742,2042,8,3,2007,455000,L,1
1976,832,1664,8,2,2006,162900,L,30
1977,1350,1334,6,2,2009,167900,L,32
1977,1026,1026,5,1,2010,150000,S,33
2005,1546,1546,7,3,2007,217000,L,2
1994,1463,2622,9,2,2010,325000,L,16
1900,780,1416,7,2,2006,156500,L,106
2004,848,1598,7,2,2006,201490,L,2
2006,1666,1666,6,2,2006,310090,L,0
2005,1570,1590,6,3,2006,294900,L,1
2007,1578,1602,7,3,2009,293200,L,2
1964,1250,1298,5,2,2010,114000,L,46
1984,1220,1360,4,2,2009,187500,L,25
1997,1838,1838,8,3,2008,185000,L,11
1973,483,987,5,1,2008,103400,S,35
1999,1037,2322,8,2,2008,225000,L,9
1920,1147,1657,9,1,2006,111500,S,86
2003,1317,2385,7,3,2007,350000,L,4
1977,1069,1069,4,2,2008,140000,L,31
1978,960,1040,6,2,2006,160500,L,28
2006,1466,2828,11,3,2007,424870,L,1
1936,796,1466,7,2,2006,170000,L,70
1993,799,1571,7,2,2009,178000,L,16
1970,914,914,5,1,2007,133000,S,37
1939,608,1132,5,1,2010,134000,S,71
1977,1430,1647,7,2,2006,217500,L,29
2006,1604,1604,8,2,2009,220000,L,3
2005,728,1456,8,2,2008,176000,L,3
1956,0,1014,6,1,2008,98000,S,52
1941,672,1210,6,1,2008,124000,S,67
1972,630,630,3,0,2008,81000,S,36
2001,944,1870,6,2,2009,211000,L,8
1924,1093,1669,9,1,2006,107000,S,82
1960,1602,1252,4,2,2008,235000,L,48
2003,746,1656,7,2,2008,165400,L,5
1968,1051,1159,7,1,2006,158000,S,38
1993,996,1744,7,2,2010,194500,L,17
1931,884,1367,6,1,2007,127500,S,76
1954,1056,1056,6,1,2007,139400,S,53
1965,1728,1728,10,2,2008,142600,L,43
1967,1584,1584,8,2,2006,119000,L,39
1973,1242,1242,6,2,2007,175500,L,34
2003,1657,1668,8,2,2010,232000,L,7
1931,776,1502,6,1,2008,149000,S,77
2004,1430,1430,7,2,2010,173500,L,6
2005,738,1476,7,2,2009,173500,L,4
2006,1652,1652,6,2,2009,325000,L,3
2002,1800,1800,7,3,2006,312500,L,4
1959,0,3820,11,2,2008,284700,L,49
2007,1563,1563,6,3,2008,245000,L,1
2003,764,1626,6,2,2010,175500,L,7
2006,1391,1962,7,3,2006,239799,L,0
2005,1400,1400,6,2,2006,186800,L,1
1920,649,1317,6,1,2008,40000,S,88
1972,796,796,4,1,2009,131900,S,37
1998,1650,1680,7,2,2009,213250,L,11
1979,918,918,5,1,2010,99500,S,31
1973,462,988,5,1,2009,91000,S,36
1975,1128,1210,6,2,2006,148000,L,31
1950,0,1048,7,2,2008,98300,L,58
1920,684,1196,7,2,2009,110000,L,89
1997,635,1308,6,2,2007,175000,L,10
1962,1027,1027,6,1,2008,125900,S,46
2007,1419,1419,7,2,2007,392000,L,0
1999,842,1749,7,2,2006,196000,L,7
1922,864,864,4,0,2009,99900,S,87
1984,1284,1284,5,2,2007,174000,L,23
2006,1850,2748,9,3,2008,390000,L,2
1956,825,2071,9,1,2009,165000,S,53
1947,1046,1054,6,1,2008,124000,S,61
1920,901,1198,7,0,2008,79900,S,88
2009,612,1224,4,2,2009,164500,L,0
1977,995,1009,6,2,2007,160000,L,30
1972,894,894,5,2,2006,149900,L,34
1960,0,1771,9,2,2009,115000,L,49
2000,1145,2198,9,3,2008,250000,L,8
1930,837,1001,5,1,2007,124900,S,77
2006,1278,1278,5,2,2006,198600,L,0
2005,734,1408,6,2,2007,171500,L,2
1955,825,825,4,2,2008,125000,L,53
2003,698,1342,7,2,2009,178000,L,6
1900,448,720,5,1,2006,86900,S,106
2000,1614,1638,5,2,2008,300000,L,8
2004,970,1709,7,2,2006,134000,L,2
1925,572,572,4,1,2009,75000,S,84
1930,928,1536,7,2,2010,138400,L,80
1975,864,1558,5,2,2008,163000,L,33
1998,832,1718,7,2,2009,185000,L,11
1990,1475,2329,10,2,2008,262280,L,18
2007,1698,1698,8,3,2009,320000,L,2
2004,1517,1535,7,2,2010,214000,L,6
1999,384,1430,7,2,2009,156000,L,10
2006,1356,1500,6,3,2006,246578,L,0
1962,1106,1190,6,2,2006,132500,L,44
1948,744,1120,5,2,2010,64000,L,62
1951,952,952,4,2,2008,139000,L,57
2008,1720,1720,8,3,2009,332000,L,1
1967,1632,1632,8,2,2007,143000,L,40
1996,910,1820,8,3,2008,213000,L,12
2003,1114,1114,6,2,2008,155000,L,5
1970,546,1344,6,0,2009,97000,S,39
1916,952,952,4,1,2009,121000,S,93
2000,985,1842,7,2,2007,217500,L,7
1963,1088,1088,4,2,2007,110000,L,44
1936,1017,2057,6,1,2006,250000,S,70
1996,1097,1097,6,1,2007,147900,S,11
2007,1620,1620,6,3,2009,315500,L,2
1999,992,2060,8,2,2009,214000,L,10
1961,1396,1608,6,1,2007,80000,S,46
1945,913,1558,6,1,2008,140000,S,63
1999,873,1790,7,2,2008,193000,L,9
1978,1360,1432,5,2,2007,194000,L,29
1960,1560,1560,6,2,2007,201000,L,47
1890,630,725,4,1,2009,78500,S,119
2007,2552,2552,8,3,2007,479069,L,0
1977,1268,1268,5,1,2009,143500,S,32
1972,483,948,5,1,2006,89000,S,34
1980,1036,1036,4,2,2006,188000,L,26
1960,1383,1383,7,1,2006,145250,S,46
2003,2392,2392,8,3,2009,386250,L,6
2003,764,1626,6,2,2008,155000,L,5
1947,832,1216,6,1,2008,118500,S,61
1928,861,1477,6,1,2009,145000,S,81
1975,864,879,5,2,2007,120000,L,32
1952,980,1148,6,1,2006,123500,S,54
1996,1040,1040,6,2,2009,152000,L,13
1900,360,1812,8,2,2010,140000,L,110
1954,1310,1906,6,2,2009,224000,L,55
2005,600,1223,4,2,2006,149900,L,1
2000,992,2054,7,2,2009,244000,L,9
1970,1205,2117,7,2,2008,237500,L,38
1930,637,1108,6,1,2007,139400,S,77
1955,1056,1056,5,2,2006,145000,L,51
2004,1706,2956,11,3,2007,342000,L,3
2004,1358,1358,6,2,2008,207000,L,4
1980,430,1700,7,1,2006,148400,S,26
1961,920,888,5,1,2007,120000,S,46
1999,923,1714,7,2,2007,180000,L,8
1986,0,1295,5,1,2006,230000,S,20
1961,1235,1235,6,2,2006,98600,L,45
2004,1980,1980,8,3,2006,315000,L,2
2005,547,1072,5,2,2006,140000,L,1
1935,884,1573,6,1,2009,133000,S,74
1922,588,2555,11,2,2008,191000,L,86
1984,1190,1522,7,2,2007,182000,L,23
2002,1494,1494,6,2,2008,221000,L,6
1956,882,882,4,0,2007,103200,S,51
1961,912,912,5,1,2008,142000,S,47
1978,804,1548,7,2,2009,147000,L,31
1957,998,1790,6,2,2008,180000,L,51
1969,720,1308,7,2,2008,146900,L,39
1979,780,1930,9,2,2007,192000,L,28
1945,793,793,4,1,2009,113000,S,64
2004,864,1728,7,2,2009,190000,L,5
2000,1630,1630,6,2,2009,213000,L,9
2008,1641,1641,7,3,2009,316500,L,1
1962,864,864,5,1,2007,125500,S,45
1964,720,1440,7,2,2006,157500,L,42
1971,1696,1696,7,2,2007,198000,L,36
1966,1154,1154,6,2,2009,154000,L,43
1971,1643,1824,5,2,2007,302000,L,36
2005,1367,1367,6,2,2008,192000,L,3
1972,864,864,5,2,2008,111250,L,36
2003,764,1626,6,2,2008,154000,L,5
1981,725,1479,6,2,2007,176000,L,26
1974,1053,1173,6,2,2010,170000,L,36
2005,1302,1302,5,2,2007,204000,L,2
2002,854,1995,8,2,2007,219500,L,5
1940,883,1505,8,1,2008,145000,S,68
2004,848,848,3,2,2008,149000,L,4
1978,1226,1226,4,2,2010,206000,L,32
1980,2002,2362,8,2,2007,255000,L,27
2001,1338,1338,6,2,2010,213500,L,9
2006,1108,2550,11,3,2007,338931,L,1
1939,690,1558,7,2,2009,150000,L,70
2007,1702,1702,7,3,2009,275500,L,2
2004,1884,1884,7,3,2008,387000,L,4
1978,1061,1055,4,1,2007,142500,S,29
2001,963,1792,7,2,2008,231500,L,7
1925,844,844,5,1,2006,111500,S,81
1957,1705,1390,4,2,2006,252000,L,49
1972,630,1302,6,1,2009,119500,S,37
1965,984,984,5,1,2006,126000,S,41
1982,858,858,5,2,2009,134900,L,27
2004,831,1659,8,2,2010,181000,L,6
1930,930,1755,7,1,2007,188000,S,77
1892,1107,3608,12,3,2006,475000,L,114
1957,1216,1526,7,1,2010,144500,S,53
1950,1092,1152,6,1,2009,158500,S,59
1914,742,1484,9,0,2008,128000,S,94
1949,1001,2002,8,3,2007,145000,L,58
1961,944,999,6,2,2008,178400,L,47
2006,625,1250,5,2,2008,171900,L,2
1931,894,1666,7,0,2010,100000,S,79
2007,1726,1726,8,3,2007,311872,L,0
1959,1244,1580,6,2,2010,159500,L,51
1993,996,2000,9,3,2006,188000,L,13
1963,1395,1395,7,2,2010,192000,L,47
2004,847,1959,8,2,2007,215000,L,3
2005,879,1795,7,2,2007,191000,L,2
2006,1352,1352,5,2,2007,208900,L,1
2006,1335,1335,6,2,2007,210400,L,1
2003,884,1768,8,2,2008,224900,L,5
1959,1053,1053,5,1,2008,145500,S,49
1990,1223,2503,7,2,2007,300000,L,17
1931,1040,1818,7,1,2007,169500,S,76
1964,1127,1445,7,2,2009,158000,L,45
1957,1092,1092,6,1,2006,141000,S,49
1975,1008,1096,5,1,2010,125200,S,35
1925,686,1328,8,1,2006,107000,S,81
2006,625,1250,5,2,2007,164700,L,1
1998,1108,2097,8,2,2006,274300,L,8
1968,876,897,5,1,2007,115000,S,39
2006,1802,1802,7,3,2007,372000,L,1
1952,1444,1624,6,1,2006,146500,S,54
1998,723,767,4,1,2007,133000,S,9
1969,780,1620,7,2,2007,152000,L,38
1924,949,949,5,2,2008,119000,L,84
1940,672,672,4,1,2008,64000,S,68
1910,600,968,6,0,2009,37900,S,99
1900,1095,1774,8,3,2006,87000,L,106
1981,2524,2524,9,2,2009,278000,L,28
1964,912,912,5,1,2006,115000,S,42
1974,896,1792,8,0,2009,136000,S,35
1999,729,1471,6,2,2009,172500,L,10
2003,1415,1455,6,3,2008,195000,L,5
1900,346,1017,5,1,2008,114000,S,108
